rank,team_name,team_url,rating,timestamp,btag
38, [BC] Becker Blue,https://compete.tespa.org/tournament/145/team/138516,1455,2019-11-03 12:36:52.702869,"henielFJ7#1420,Chlor#11180,Firebird#1564,Lpain#11246,SSLURPP#1992,Xavius#11637,Securen#1610,Shifty#1992,PhunkPai#1359"
31, [UCF] SPIRIT,https://compete.tespa.org/tournament/145/team/136401,1475,2019-11-03 12:36:52.699898,"EunoiaKalon#1496,Pandamonium#1623,Alvarocious#1841,RAFIKI#11203,st0rm#11464,Dean#13906,SirDrTitan#1799,Frisk#12518"
36, [ISU] ISU Cardinal Squad,https://compete.tespa.org/tournament/145/team/138219,1464,2019-11-03 12:36:52.702051,"thegreatgila#1486,OffMeta#1794,TheDracheX#2105,Smokus#1364,NotDriftful#1264,Expheril#1475,Skarm#11142,THEscurge#11932,MultipleCows#1865"
37, [USC] UofSC Gamecocks,https://compete.tespa.org/tournament/145/team/136339,1456,2019-11-03 12:36:52.702459,"CHIMCHAR#11554,LaughingBomb#11692,Smarty#11456,ALOHA#11775,IamHamez#1905,Berns#11659,Therain#11618"
35, [UNCCH] UNC Tar Heals ,https://compete.tespa.org/tournament/145/team/138183,1469,2019-11-03 12:36:52.701641,"Ryan#13981,Scout#11483,GlowDrago#1590,Lect#11529,Bee#11282,Galileo#11728,Eskay#11689"
33, [GVSU] Lakeshore Blue,https://compete.tespa.org/tournament/145/team/138237,1470,2019-11-03 12:36:52.701227,"Gallaxee#1788,Quarrelt#1597,Canman#11488,SquidKick#1379,Syprious#1433,Hatkid#11337,Bloom#12411,Oyster#11850,LaggingPanda#1242"
32, [MU] McMaster Esports,https://compete.tespa.org/tournament/145/team/138149,1473,2019-11-03 12:36:52.700393,"ahmediy#1984,NrsSamsara#1480,Saki#11508,Yukino#41859,dartu#11387,AWildLeopard#1627,markkiller57#1372,BloodRabbit#11995,Papafly#1626,ZaWārudo#11689"
33, [UNT] UNT Esports,https://compete.tespa.org/tournament/145/team/136644,1470,2019-11-03 12:36:52.700811,"Produx#11323,FierceSerge#1901,CapnKarlos#1915,Joe#16928,Executor#1187,Aqua#12419,Medixcre#1214,Samston#11240,Riverlucky#1155,McDanells#1268,Kisetsu#11907"
28, [RU] low tier genetics,https://compete.tespa.org/tournament/145/team/138499,1482,2019-11-03 12:36:52.699075,"Mochi#12415,LegendaryAL#1512,Broccoli#11645,kattesmoon#1970,CraftingGoat#1808,Noble#11466,Fraadchikin#1742,Kylus#1543,m0tion#11338"
30, [NYU] NYU Ultraviolets,https://compete.tespa.org/tournament/145/team/136575,1477,2019-11-03 12:36:52.699486,"LuckyByChanc#1582,Mario#13710,Vent1narc#21410,WhiteGive#1928,Syrneh#1693,Jrinky#1253,Symphony#12320,SaltShakrFan#1523,Rain#15707"
28, [FSU] Ferris Crimson,https://compete.tespa.org/tournament/145/team/137430,1482,2019-11-03 12:36:52.698663,"Ricashea3#1110,Telos#11842,Milk#12996,Adam#14374,Bry#11555,Carmalman27#1653,mst3knight#1251"
27, [OCC] Orange Coast College,https://compete.tespa.org/tournament/145/team/137363,1485,2019-11-03 12:36:52.698250,"Slayergramps#11606,JETJEL#1208,woodgie#1454,Chicken#12317,EuphoRia#11676,balanceddiet#11921,Icyyy#11398,Galaxy#1851,robdab#1392,KiyoSaten#1250"
25, [UMA] UMass Minutemen,https://compete.tespa.org/tournament/145/team/138241,1487,2019-11-03 12:36:52.697836,"CTalbot#11842,flabbadabba#1106,Swyke#1376,Matrix#11275,pripensi#1574,The2ndID#1663,Istimi#1454,rad#11961,NecroDrake#11668,Grizz#12667,Malistaire#11368"
23, [CPSLO] SLOverwatch D1,https://compete.tespa.org/tournament/145/team/136501,1494,2019-11-03 12:36:52.696603,"Micro#11165,Lynxa#11256,notwalker#1386,SCSF#11182,Chubbyiguana#1667,Fatal#12297,Rampakslue#1689,SwankyMango#1457,justmarfy#1150"
25, [NJIT] NJIT Highlanders,https://compete.tespa.org/tournament/145/team/136332,1487,2019-11-03 12:36:52.697425,"Sickist#1531,KingELMER#11743,Abadio#1943,QueenJirachi#1601,Konrad#11273,quadcore#1395,Kake#11110,Peter#15683,Neeesh#1537,uMental#1771,Masa21#1616"
24, [GCU] GCU Overwatch,https://compete.tespa.org/tournament/145/team/137288,1492,2019-11-03 12:36:52.697015,"Ninjacat#1668,TheLegend27#11297,TRUEBIZARRO#1648,whiskers#11323,cuddlemaster#1309,Shiyore#11158,Ziro#11848,Fizzer#11648,NekoKittyKat#11308,FilthyFoss#1974"
467, [HU] Hofstra Esports,https://compete.tespa.org/tournament/145/team/136380,687,2019-11-03 12:36:52.887703,"Tr4shm4n#1653,myar#11290,p0int#11977,Mazqoe#1952,SanityBreak#1916,Iced#11502,NaCl#11628,Zero#114691,MercuryRX#11568,AstroCelsius#1282"
465, [OU] Bobcat Esports White,https://compete.tespa.org/tournament/145/team/138207,770,2019-11-03 12:36:52.886834,"Lando#11943,Galross#2447,PbZeppelin42#1464,Hijackster99#1406,SaxGod#11428,BenneyBigAle#1186,OtterMan#11700"
464, [RU] Ryerson Rampage,https://compete.tespa.org/tournament/145/team/136549,802,2019-11-03 12:36:52.886402,"karol555fly#1939,FotoonEl#1259,kujohar#1227,BudgetCheeto#1698,Iyvan#1596,SaminBBall#1486,JohnnySins#11617,Cidunno#1848,Draxxupaxx#1524,Whomstvdve#1572,Myhe#1352"
466, [LYON] Lyon OW JV,https://compete.tespa.org/tournament/145/team/138257,738,2019-11-03 12:36:52.887269,"BloodyMary#11844,Johalter#11994,Poptart67#1544,carol#12818,Zeldi3#1648,EskimoNinja#1579,ARRAZORACK#1221"
463, [EKU] Higher Primates,https://compete.tespa.org/tournament/145/team/138743,808,2019-11-03 12:36:52.885965,"Krosin#11531,Rxyn#1968,FrenchFry#11606,Cinder#12135,AdobeWallHax#1611,HammerHead20#11661,Makershyn#1855,Rune#11918,DaBurntHam#1286"
462, [SC] Snow Esports Orange,https://compete.tespa.org/tournament/145/team/137525,818,2019-11-03 12:36:52.885533,"Kadacox#1390,SilentStorm#1111389,Clementine#11615,DeadLynxie#1894,Ghost#116708,verynewjew#1899,Outlaww#11408,colbster#11474,Fir3Can#1653,Chief#12409"
460, [BSU] Cardinal White,https://compete.tespa.org/tournament/145/team/136849,833,2019-11-03 12:36:52.884701,"Casseroles#1303,Ark#12664,Speira#1877,Gavin#13638,TromboneFish#1578,EvioNoah#1114,Nepraisu#1942"
460, [EC] Emerson Lions,https://compete.tespa.org/tournament/145/team/138165,833,2019-11-03 12:36:52.885117,"noratspect#1854,RogueCodes#1121,Illuminutty#11404,Maxzloch#1965,ContraryHook#1700,Skellumton#1540,Ginterface#1715,Mismatch#11692"
458, [KSU] Aviators,https://compete.tespa.org/tournament/145/team/136793,869,2019-11-03 12:36:52.883840,"SilverPaws#11804,frenchfryguy#1907,Ziela#1765,DoomsDay#1802,EonGalaxy#1213,WhoTookMyACL#1868,Catchie#1734,WonderBlades#1982"
